PHL.2.10_1,PHL,Philippines,PHL.2_1,Agusan del Norte,NA,Nasipit,NA,NA,Bayan|Munisipyo,Municipality,160209,PH.AN.NS
PHL.2.11_1,PHL,Philippines,PHL.2_1,Agusan del Norte,NA,Remedios T. Romualdez,NA,NA,Bayan|Munisipyo,Municipality,160212,PH.AN.RM
PHL.2.12_1,PHL,Philippines,PHL.2_1,Agusan del Norte,NA,Santiago,NA,NA,Bayan|Munisipyo,Municipality,160210,PH.AN.SG
PHL.2.13_1,PHL,Philippines,PHL.2_1,Agusan del Norte,NA,Tubay,NA,NA,Bayan|Munisipyo,Municipality,160211,PH.AN.TB
PHL.3.1_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,Bayugan City,NA,NA,Lungsod|Siyudad,City,160301,PH.AS.BY
PHL.3.2_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,Bunawan,NA,NA,Bayan|Munisipyo,Municipality,160302,PH.AS.BN
PHL.3.3_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,Esperanza,NA,NA,Bayan|Munisipyo,Municipality,160303,PH.AS.EP
PHL.3.4_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,La Paz,NA,NA,Bayan|Munisipyo,Municipality,160304,PH.AS.LP
PHL.3.5_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,Loreto,NA,NA,Bayan|Munisipyo,Municipality,160305,PH.AS.LR
PHL.3.6_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,Prosperidad,NA,NA,Bayan|Munisipyo,Municipality,160306,PH.AS.PO
PHL.3.7_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,Rosario,NA,NA,Bayan|Munisipyo,Municipality,160307,PH.AS.RS
PHL.3.8_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,San Francisco,NA,NA,Bayan|Munisipyo,Municipality,160308,PH.AS.SF
PHL.3.9_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,San Luis,NA,NA,Bayan|Munisipyo,Municipality,160309,PH.AS.SL
PHL.3.10_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,Santa Josefa,NA,NA,Bayan|Munisipyo,Municipality,160310,PH.AS.SJ
PHL.3.11_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,Sibagat,NA,NA,Bayan|Munisipyo,Municipality,160314,PH.AS.SB
PHL.3.12_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,Talacogon,NA,NA,Bayan|Munisipyo,Municipality,160311,PH.AS.TL
PHL.3.13_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,Trento,NA,NA,Bayan|Munisipyo,Municipality,160312,PH.AS.TE
PHL.3.14_1,PHL,Philippines,PHL.3_1,Agusan del Sur,NA,Veruela,NA,NA,Bayan|Munisipyo,Municipality,160313,PH.AS.VR
PHL.4.1_1,PHL,Philippines,PHL.4_1,Aklan,NA,Altavas,NA,NA,Bayan|Munisipyo,Municipality,60401,PH.AK.AT
PHL.4.2_1,PHL,Philippines,PHL.4_1,Aklan,NA,Balete,NA,NA,Bayan|Munisipyo,Municipality,60402,PH.AK.BL
PHL.4.3_1,PHL,Philippines,PHL.4_1,Aklan,NA,Banga,NA,NA,Bayan|Munisipyo,Municipality,60403,PH.AK.BN
PHL.4.4_1,PHL,Philippines,PHL.4_1,Aklan,NA,Batan,NA,NA,Bayan|Munisipyo,Municipality,60404,PH.AK.BT
PHL.4.5_1,PHL,Philippines,PHL.4_1,Aklan,NA,Buruanga,NA,NA,Bayan|Munisipyo,Municipality,60405,PH.AK.BR
PHL.4.6_1,PHL,Philippines,PHL.4_1,Aklan,NA,Ibajay,NA,NA,Bayan|Munisipyo,Municipality,60406,PH.AK.IA
PHL.4.7_1,PHL,Philippines,PHL.4_1,Aklan,NA,Kalibo,NA,NA,Bayan|Munisipyo,Municipality,60407,PH.AK.KL
PHL.4.8_1,PHL,Philippines,PHL.4_1,Aklan,NA,Lezo,NA,NA,Bayan|Munisipyo,Municipality,60408,PH.AK.LZ
PHL.4.9_1,PHL,Philippines,PHL.4_1,Aklan,NA,Libacao,NA,NA,Bayan|Munisipyo,Municipality,60409,PH.AK.LB
PHL.4.10_1,PHL,Philippines,PHL.4_1,Aklan,NA,Madalag,NA,NA,Bayan|Munisipyo,Municipality,60410,PH.AK.MD
PHL.4.11_1,PHL,Philippines,PHL.4_1,Aklan,NA,Makato,NA,NA,Bayan|Munisipyo,Municipality,60411,PH.AK.MK
PHL.4.12_1,PHL,Philippines,PHL.4_1,Aklan,NA,Malay,NA,NA,Bayan|Munisipyo,Municipality,60412,PH.AK.MA
PHL.4.13_1,PHL,Philippines,PHL.4_1,Aklan,NA,Malinao,NA,NA,Bayan|Munisipyo,Municipality,60413,PH.AK.ML
PHL.4.14_1,PHL,Philippines,PHL.4_1,Aklan,NA,Nabas,NA,NA,Bayan|Munisipyo,Municipality,60414,PH.AK.NB
PHL.4.15_1,PHL,Philippines,PHL.4_1,Aklan,NA,New Washington,NA,NA,Bayan|Munisipyo,Municipality,60415,PH.AK.NW
PHL.4.16_1,PHL,Philippines,PHL.4_1,Aklan,NA,Numancia,NA,NA,Bayan|Munisipyo,Municipality,60416,PH.AK.NM
PHL.4.17_1,PHL,Philippines,PHL.4_1,Aklan,NA,Tangalan,NA,NA,Bayan|Munisipyo,Municipality,60417,PH.AK.TN
PHL.5.1_1,PHL,Philippines,PHL.5_1,Albay,NA,Bacacay,NA,NA,Bayan|Munisipyo,Municipality,50501,PH.AL.BC
PHL.5.2_1,PHL,Philippines,PHL.5_1,Albay,NA,Bato Lake,NA,NA,Waterbody,Waterbody,NA,NA
PHL.5.3_1,PHL,Philippines,PHL.5_1,Albay,NA,Camalig,NA,NA,Bayan|Munisipyo,Municipality,50502,PH.AL.CM
PHL.5.4_1,PHL,Philippines,PHL.5_1,Albay,NA,Daraga,Locsin,NA,Bayan|Munisipyo,Municipality,50503,PH.AL.DR
PHL.5.5_1,PHL,Philippines,PHL.5_1,Albay,NA,Guinobatan,NA,NA,Bayan|Munisipyo,Municipality,50504,PH.AL.GI
PHL.5.6_1,PHL,Philippines,PHL.5_1,Albay,NA,Jovellar,NA,NA,Bayan|Munisipyo,Municipality,50505,PH.AL.JV
PHL.5.7_1,PHL,Philippines,PHL.5_1,Albay,NA,Legazpi City,NA,NA,Lungsod|Siyudad,City,50506,PH.AL.LZ
PHL.5.8_1,PHL,Philippines,PHL.5_1,Albay,NA,Libon,NA,NA,Bayan|Munisipyo,Municipality,50507,PH.AL.LB
PHL.5.9_1,PHL,Philippines,PHL.5_1,Albay,NA,Ligao City,NA,NA,Lungsod|Siyudad,City,50508,PH.AL.LG
PHL.5.10_1,PHL,Philippines,PHL.5_1,Albay,NA,Malilipot,NA,NA,Bayan|Munisipyo,Municipality,50509,PH.AL.ML
PHL.5.11_1,PHL,Philippines,PHL.5_1,Albay,NA,Malinao,NA,NA,Bayan|Munisipyo,Municipality,50510,PH.AL.ML
